"sample","aminoglycoside","beta-lactam","macrolide","phenicol","rifampicin","sulphonamide","tetracycline","quinolone","pseudomonicacid","trimethoprim","fosfomycin"
"SRR5891492",3094,1705,0,0,1,708,1124,0,0,0,0
"SRR5891493",3335,1267,0,0,0,1343,626,0,0,0,0
"SRR5891495",2390,1422,0,0,1,634,755,1,0,0,0
"SRR5891499",2671,1409,0,0,1,834,729,0,0,0,0
"SRR5901132",217,365,0,0,0,65,248,0,0,0,0
"SRR654213",1821,1891,0,356,0,562,323,0,0,0,0
"SRR654250",2686,1538,0,388,2,396,939,0,0,0,0
"SRR654292",2040,1058,0,248,6,488,274,0,0,190,0
"SRR654338",634,856,0,0,3,517,0,0,0,0,0
"SRR654382",0,623,0,0,0,0,0,0,0,0,0
"SRR654415",2,1405,0,0,0,298,0,0,0,0,0
"SRR721188",0,2295,0,0,0,0,2,0,0,0,0
"SRR721218",6207,4727,0,1074,7,1666,2044,0,0,0,0
"SRR728961",0,1497,0,0,0,0,69,0,0,0,0
"SRR728972",4,1409,0,0,0,403,53,0,0,0,0
"SRR741913",0,1267,0,0,0,0,2,0,0,0,0
"SRR741916",0,1582,0,0,0,0,9,0,0,0,0
"SRR741918",0,1385,0,0,0,0,13,0,0,0,0
